Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,Synopsis,Genre,Tags,Director,Screenwriter,Cast,Production companies,Rank
Move to Heaven,"May 14, 2021",2021,Netflix,Friday,10.0,52 min.,18+ Restricted (violence & profanity),9.2,geu roo is a young autistic man. he works for his father’s business “move to heaven.” their job is to arrange items left by deceased people. one day  geu roo's own father dies. geu roo is left alone  but his uncle sang koo suddenly appears in front of him. sang koo is a cold man. he was a martial artist who fought in underground matches. he went to prison because of what happened at his fight. sang koo now becomes geu roo’s guardian. they run “move to heaven” together.,life   drama   family,"Autism, Uncle-Nephew Relationship, Death, Savant Syndrome, Mourning, Tearjerker, Father-Son Relationship, Life Lesson, Ex-convict, Cleaning And Organizing",Kim Sung Ho,Yoon Ji Ryun,"Lee Je Hoon, Tang Jun Sang, Hong Seung Hee, Jung Suk Yong, Jung Young Joo, Lee Moon Shik","Page One Film, Number Three Pictures",#1
Flower of Evil,"Jul 29, 2020 - Sep 23, 2020",2020,tvN," Wednesday, Thursday",16.0,1 hr. 10 min.,15+ - Teens 15 or older,9.1,although baek hee sung is hiding a dark secret surrounding his true identity  he has established a happy family life and a successful career. he is a loving husband and doting father to his young daughter. but his perfect façade begins to crumble when his wife  cha ji won  a homicide detective  begins investigating a string of serial murders from 15 years ago. ji won notices changes in hee sung’s behavior and begins to wonder if he could possibly be hiding something from her.,thriller   romance   crime   melodrama,"Married Couple, Deception, Suspense, Family Secret, Hidden Personality, Smart Female Lead, Antisocial Personality Disorder, Investigation, Serial Killer, Psychopath","Kim Chul Gyu, Yoon Jong Ho",Yoo Jung Hee,"Lee Joon Gi, Moon Chae Won, Jang Hee Jin, Seo Hyun Woo, Nam Ki Ae, Son Jong Hak",Monster Union,#2
Hospital Playlist,"Mar 12, 2020 - May 28, 2020",2020,"Netflix,  tvN ",Thursday,12.0,1 hr. 30 min.,15+ - Teens 15 or older,9.1,the stories of people going through their days that are seemingly ordinary but actually special  at the hospital  a place known as the microcosm of life  where someone is being born and someone's life meets their ending. the five doctors are long-time friends of 20 years who started their undergrad in 1999 in the same medical school and now are colleagues in the same hospital and have a band together.,friendship   romance   life   medical,"Strong Friendship, Multiple Mains, Best Friends, Hospital, Slow Romance, Strong Female Lead, Multiple Couples, Slight Romance, Nice Male Lead, Bromance",Shin Won Ho,Lee Woo Jung,"Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Bin","Egg Is Coming, CJ ENM",#3
Hospital Playlist 2,"Jun 17, 2021 - Sep 16, 2021",2021,"Netflix,  tvN ",Thursday,12.0,1 hr. 40 min.,15+ - Teens 15 or older,9.1,everyday is extraordinary for five doctors and their patients inside a hospital  where birth  death and everything in between coexist.,friendship   romance   life   medical,"Workplace, Strong Friendship, Best Friends, Multiple Mains, Band, Music, Strong Female Lead, Multiple Couples, Comedy, Hospital",Shin Won Ho,Lee Woo Jung,"Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Bin","Egg Is Coming, CJ ENM",#4
My Mister,"Mar 21, 2018 - May 17, 2018",2018,tvN," Wednesday, Thursday",16.0,1 hr. 17 min.,15+ - Teens 15 or older,9.1,park dong hoon is a middle-aged engineer who is married to attorney kang yoon hee. however  his life is not that happy as he has two unemployed brothers  sang hoon and gi hoon  who rely on him. moreover  his wife is secretly having an affair with ceo do joon yeong  his current boss and college junior.,psychological   life   drama   family,"Age Gap, Nice Male Lead, Strong Female Lead, Hardship, Smart Female Lead, Healing, Depression, Poor Female Lead, Workplace, Infidelity","Kim Won Suk, Kim Sang Woo",Park Hae Young,"Lee Sun Kyun, IU, Park Ho San, Song Sae Byuk, Lee Ji Ah, Kim Young Min",Chorokbaem Media,#5
Reply 1988,"Nov  6, 2015 - Jan 16, 2016",2015,tvN," Friday, Saturday",20.0,1 hr. 40 min.,15+ - Teens 15 or older,9.1,five childhood friends  who all live in the same ssangmundong neighborhood of seoul  lean on each other to survive their challenging teen years and set a path for their futures. sung deok sun struggles for attention as the middle child in her poor family while also carrying the burden of her 999th ranking in school. kim jung hwan only has a one-track mind for soccer  even after his family becomes rich overnight. sung sun woo is the perfect student  student council president and a caring and dependable son in his family. ryu dong ryong is a geek who knows more about girls and life than the rest of his friends  but his poor academic score prevents him from being able to go to college. choi taek is a genius baduk player who dropped out of school to go professional. as the group of friends gets into and out of mischief around the neighborhood  what experiences from these memorable times together will they carry with them into their future lives? edit translation  english русский ελληνικά italiano,comedy   romance   youth   family,"Neighbors, Slice Of Life, Childhood Friends, Multiple Couples, Nostalgia, Poor Family, Love Triangle, Best Friends, Heartfelt, High School","Shin Won Ho, Yoo Hak Chan",Lee Woo Jung,"Lee Hye Ri, Go Kyung Pyo, Ryu Joon Yeol, Park Bo Gum, Lee Dong Hwi, Sung Dong Il",CJ ENM,#6
Weak Hero Class 1,"Nov 18, 2022",2022,Wavve,Friday,8.0,40 min.,18+ Restricted (violence & profanity),9.1,yeon shi eun is a model student who ranks at the top of his high school. physically  yeon shi eun appears weak  but by using his wits and psychology  he fights against the violence that takes place inside and outside of his school.,action  youth  drama,"Bromance, Smart Male Lead, Violence, School Bullying, Adapted From A Webtoon, Delinquent Supporting Character, Quiet Male Lead, Skilled Fighter, Hidden Past, Strong Male Lead",You Su Min,Jun Hee Han,"Park Ji Hoon, Choi Hyun Wook, Hong Kyung, Kim Su Gyeom, Lee Yeon, Shin Seung Ho",PlayList Global,#7
Prison Playbook,"Nov 22, 2017 - Jan 18, 2018",2017,"Netflix,  tvN "," Wednesday, Thursday",16.0,1 hr. 32 min.,15+ - Teens 15 or older,9.1,kim je hyuk  a famous baseball player  is arrested after using excessive force while chasing a man trying to sexually assault his sister. shockingly to him and the rest of the nation  he is sentenced to a year in prison. there  he meets his childhood friend and fellow baseball player  lee joon ho  who gave up on baseball after a car accident  but now is a prison guard and one of je hyuk's biggest fans. the drama revolves around je hyuk's time in prison  as well as the prisoners he meets and events that take place there.,comedy   crime   life   drama,"Prison, Bromance, Wrongfully Accused, Life Lesson, Slight Romance, Strong Male Lead, Character Development, Baseball, Gangster, Murder",Shin Won Ho,"Jung Bo Hoon, Lee Woo Jung","Park Hae Soo, Jung Kyung Ho, Krystal Jung, Im Hwa Young, Ye Soo Jung, Kim Kyung Nam",tvN,#8
Alchemy of Souls,"Jun 18, 2022 - Aug 28, 2022",2022,"Netflix, tvN","Saturday, Sunday",20.0,1 hr. 20 min.,15+ - Teens 15 or older,9.0,"set in a fictional country called daeho that does not exist in history or on maps  it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls""  which allows souls to switch bodies. it follows the story of an elite assassin named naksu  whose soul is accidentally trapped inside the weak body of mu deok—jang uk's servant from a powerful and noble mage family in the country. the young master of the jang family  jang uk  holds a dark secret about his scandalous birth. he wants the formidable assassin to help change his destiny.",action  historical  romance  fantasy,"Magical Power, Supernatural, Transmigration, Strong Female Lead, Kind Male Lead, Multiple Mains, Master/Disciple Relationship, Master/Apprentice, Hidden Identity, Body Swap",Park Joon Hwa,"Hong Jung Eun, Hong Mi Ran","Lee Jae Wook, Jung So Min, Hwang Hyun Min, Shin Seung Ho, Yoo Joon Sang, Oh Na Ra","Studio Dragon, High Quality",#9
Extraordinary Attorney Woo,"Jun 29, 2022 - Aug 18, 2022",2022,"ENA, Netflix","Wednesday, Thursday",16.0,1 hr. 17 min.,15+ - Teens 15 or older,9.0,diagnosed with autism spectrum disorder  27-year-old woo young woo graduated at the top of her class from the prestigious seoul national university for both college and law school due to her high iq of 164  impressive memory  and creative thought process. working as a lawyer  she finds herself struggling when it comes to social interactions.,law  romance  life  drama," Autistic Female Lead, Autism, Attorney Female Lead, Smart Female Lead, Law Firm, Workplace Setting, Nice Male Lead, Father-Daughter Relationship, Courtroom Setting, Single Mother/Father Supporting Character",Yoo In Shik,Moon Ji Won,"Park Eun Bin, Kang Tae Oh, Kang Ki Young, Jeon Bae Soo, Baek Ji Won, Jin Kyung","AStory, KT Studio Genie, Nangman Crew",#10
